text,user,ts
Re:ディスコミュニケーションというのを久々に味わったので勉強になりました(+1),吉井春樹,2025-09-22 22:33:19.206369
Re:ディスコミュニケーションって言葉を知らなかったので検索したら1番に漫画が出てきた,橋口加代子(運営),2025-09-22 22:38:44.474719
"Re:新しい言葉を習得しました :smile: 
ディスなんとか",橋口加代子(運営),2025-09-22 22:39:56.419269
Re:ディスコミュニケーションで思い浮かぶ漫画は僕はこっちです…,吉井春樹,2025-09-22 22:44:37.572609
Re:なんか面白そう,橋口加代子(運営),2025-09-22 22:45:55.861579
"Re:というかこの漫画でディスコミュニケーション(相互不理解)という言葉を知りました…ただあんまり内容と関係ないような気もする漫画です…
(一応)恋愛？漫画のはずですが作者の興味関心がストーリーとそんなに関係なく遺憾無く発揮されているので民俗学やら心理学やらみたいなのがびっちり書き込まれた絵と共に出てくる漫画です…
面白い…面白い漫画だとは思います…",吉井春樹,2025-09-22 22:52:42.599939
Re:なんか、ちょっと面白いのかくないのか曖昧な説明ですね笑,橋口加代子(運営),2025-09-22 22:54:24.642769
Re:後半は主人公たち(表紙の二人)が狂言回しになって、違うキャラにスポットがあたってそのキャラがこの作品のテーマみたいなもんを探求するお話になってしまうので…,吉井春樹,2025-09-22 23:00:41.313069
Re:ニポンゴ、ムツカシネ。,藤瀬裕一,2025-09-23 05:53:13.514559
"なんかすげ :star-struck:
<https://gigazine.net/news/20250916-hosting-website-on-disposable-vape/|https://gigazine.net/news/20250916-hosting-website-on-disposable-vape/>",古川格(運営),2025-09-20 14:27:38.423499
"Re:DOOM移植のような、やりたいとはこれっぽっちも思いませんが、その情熱は理解できる系ですね…
<https://www.inside-games.jp/article/2024/03/04/153267.html>",吉井春樹,2025-09-20 14:36:42.749419
"Re:これもすごいっすね :laughing: 
男の子のロマン的なとこは理解できる気がします :partying_face: ",古川格(運営),2025-09-20 15:22:56.909979
"（自分の業務に関する）採用募集です。
対象者を（主に）県外のUターンや移住者を想定しているので、興味がありそうな方に共有いただけるとありがたいです :man-bowing:
ーーー
*【採用募集】*
「eスポ共育コーディネーター」 in 佐賀県玄海町 :video_game::seedling:
 eスポーツを“共育（ともに学ぶ）”のツールにして、高校生と地域の大人がつながる場をコーディネートする地域おこし協力隊を募集ています。！
*応募期限*
９月３０日まで
*こんな人に*
 eスポーツが好き（上手じゃなくてもOK）
 若者の学びや地域協働に関心がある
*主なミッション*
 高校生×地域の交流イベント運営・部活動支援
 研修参加、活動の発信 など
*募集内容の詳細（ページ上〆切となっていますが、応募できます。）*
<https://smout.jp/plans/23775>
*応募フォーム（９月３０日まで）*
<https://logoform.jp/form/bH8z/1167859>",山下　晃(ﾔﾏｼﾀ　ﾋｶﾙ),2025-09-16 23:05:17.734429
"各AIモデルの使い分け参考...(github copailotで利用できるもののみ)
<https://atmarkit.itmedia.co.jp/ait/spv/2509/11/news009.html|https://atmarkit.itmedia.co.jp/ait/spv/2509/11/news009.html>",吉井春樹,2025-09-14 23:44:27.827919
"お久しぶりです。
某生成AI講座でHAGAKUREの方を見かけると、密かに嬉しくなっている鈴木です。

告知ですが、復業講座の最終回が9/19に行われます。
これまでの講座もアーカイブで見れますので、「復業」に興味がある方、ぜひご参加ください！
ちなみに、来月からは「起業講座」となります！



*＼＼*:mega: *SAGA Smart Terakoya -シゴトに繋げる起業・複業塾- 第３回講座／／*

SAGA Smart Terakoya第3回講座のご案内です！
「好きなことで仕事を続けたい」「もっと安定した収入を得たい」そんな方にぴったりの内容です！
※会場の空席あと少しですのでお早目にお申し込みください

:bulb:講座内容
リピートにつながる仕事術＆単価交渉のコツ
税務・資金・契約など複業・フリーランスの“お金とリスク“管理
案件の選び方・捨て方、キャリア戦略の描き方

:date:日時：9月19日（金）15:00～19:00
:round_pushpin:会場：MAIC SAGA（佐賀駅前）／オンライン／アーカイブ視聴あり
※講座後には懇親会も！（ノンアル）

参加費無料＆申込締切は9月18日（木）17:00までです！

:point_right: 詳細・申込はこちら：<https://saga-terakoya.com/2025course3/>

「案件を“取る“から“選ぶ“へ」。 自分の価値を高めながら持続可能な働き方を目指す方、ぜひご参加ください！",鈴木美弥子,2025-09-12 14:29:49.809829
"そんでもって申し込んでみました。無料だし。オンラインセミナーですね。まぁ仕事終わってから間に合うでしょう
<https://techplay.jp/event/985934>

*Copilot x PythonでExcelはこう進化する！知っておきたいこれからのデータ分析と仕事術*",川久保翔太,2025-09-11 22:51:47.829839
"Re:この本､丁度今読んでるところなので､申し込みしました :+1: 本の中のやすこさんとAIのやりとりで""AIに全て仕事を任せたとして､じゃあやすこさんは何をするんですか:grey_question:“の問いに（グサッ）改めて､中身をよく知る大切さを考えさせられました :sweat_smile:  AIにそう言われないように頑張ります :computer:",眞子 美幸,2025-09-12 06:41:40.996259
"Re:滑り込みセーフですね:+1:あと10人くらいの空きだったような。
実際に書籍を読んだことはないのですが、内容が身近でよさそうだなと思った次第です。",川久保翔太,2025-09-12 10:45:17.061909
"とか何とか言ってたらセキュリティ関連のイベントが。
ド平日ですが、興味のある方は登録お早めに。（Microsoft談）
<https://www.microsoft.com/ja-jp/biz/security/digital-event?wt.mc_id=VOJFY260911SC_eml_&amp;mkt_tok=MTU3LUdRRS0zODIAAAGc1v-9AJ5UrP2bGi9Y_Q-WXkW0RKJMVEUWehjltXz7Dmsr55ir_0V6pWyqkxENBsG4pvyayjqQhTlPF7pR7TtO4adODsBJTRyAbhejxhG3d6KKDf3q2IAnMemK|https://www.microsoft.com/ja-jp/biz/security/digital-event?wt.mc_id=VOJFY260911SC_eml[…]BsG4pvyayjqQhTlPF7pR7TtO4adODsBJTRyAbhejxhG3d6KKDf3q2IAnMemK>",川久保翔太,2025-09-11 19:18:53.141589
Re:ウチダってまさかと思ったら、内田洋行ですか、なるほど、納得（知らなかった,Tetsuya Shibao,2025-09-11 21:24:52.017009
Re:NTTコミュニケーションズがNTTドコモビジネスに変わったことを失念していて、そんなとこあったっけ？とか思ってました,川久保翔太,2025-09-11 22:25:54.755999
Re:わかりみ,Tetsuya Shibao,2025-09-11 22:27:05.792489
"<https://www.microsoft.com/ja-jp/events/top/training-days>
Microsoft Security Virtual Training Day: セキュリティ、コンプライアンス、ID の基礎
上記を受けてみてます。
デモがあるのはありがたいですね。そして何より該当資格の受験費用半額。
（地味にうれしいのは読み方これであってんのかな？的な単語の読み方がわかること）

Azure Bastion
バスチャン？バスティオン？バスチオン？
（公式の人はバスチオンとか言ってました。まぁ伝わればいいか）",川久保翔太,2025-09-11 16:31:08.268729
"Re:バスティオン、と自分は言ってました。
直訳すれば要塞ですね。
Azure Bastion便利ですよね、端末とAzureVMの間にインスタンス立てて、Just-in-Time接続できる踏み台サーバ",Tetsuya Shibao,2025-09-11 21:23:10.255439
"Re:お恥ずかしながら名前だけ知ってるくらいでございました。
本日内容をちゃんと知って便利やん！と思ってる次第です。
でも正直私もバスティオン派です（だってなんか響きかっこいいし）",川久保翔太,2025-09-11 22:24:21.033449
"Re:財布に余裕があればAzure Bastion魅力的ですよね
AWSのSSMでVMにSSH over HTTPSで接続できるのも良い体験だったりします
Google は...Consoleの中に閉じちゃうのであまり好きじゃなかったですｗ",Tetsuya Shibao,2025-09-11 22:26:52.811729
"Re:せっかくなのでそれっぽいサービスをGeminiにまとめてもらいました。（私の備忘録）
色々ありますね・・・面白くなってきた",川久保翔太,2025-09-11 22:34:44.591619
Re:IAP進化した　んだ、gcloudコマンドで行けるようになったんですね、Google Cloud触る機会減ったから知らなかった,Tetsuya Shibao,2025-09-11 22:44:30.822339
"Re:今までの会社でAzure,AWS辺りは多少かかわりがあったのですが、Googlecloudだけほんとにお世話にならず。
Googleworkspace（ちょっと違う）はあるんですけどね。",川久保翔太,2025-09-11 22:49:11.463249
"あと来月、小中高生向けにプログラミング教育の場を提供しているCoderDojo Japanの
年1のイベントが九州初開催（久留米で）なのでよかったら家族連れで
<https://dojocon2025.coderdojo.jp/>",Tetsuya Shibao,2025-09-10 22:19:40.044429
"この前実施したJAWS-UG佐賀の様子です。
何か売りつけたり、クローズドなイベントじゃないよーというお知らせでした。
（この前は金融系なのでオフレコセッションがいくつかありましたがｗ）
この前はFISC 安全対策基準・解説書に関係する重鎮が来ていました。
<https://posfie.com/@midnight480/p/E0hPAkg>",Tetsuya Shibao,2025-09-10 22:03:26.186189
Re:非公式テーマソングはこちら,Tetsuya Shibao,2025-09-10 22:08:28.137549
"無法地帯についにメスが入った感じなんかな :face_with_rolling_eyes:これからどうなるんでしょ
<https://www.watch.impress.co.jp/docs/news/2045300.html|https://www.watch.impress.co.jp/docs/news/2045300.html>",古川格(運営),2025-09-08 13:12:30.616489
"まじん式プロンプトがすごいです:blob_smile_happy_eyes:
ブログにまとめてみました
<https://hagakurepgm.net/blog/slide_with_ai202509/>",古川格(運営),2025-09-07 02:09:30.504049
Re:まじん式プロンプト、自分でも出来るのか古川さんのブログの記事を参考にやってみました:blush:GoogleAIstudioで記事のまとめをチャットで作成して、まじん式プロンプトでコード作成実行してコードが作成されたら、Googleスライド上でコードを張り付けて実行:clap:、、、するもエラーが出てしまいました。修正したかったのですが、どうにもうまく出来そうにないので（自分の技術不足）またトライしてみます。なんかいい感じで出来そうだというのはわかりました:smile:もしちゃんと出来たら報告したいと思います:+1:,眞子 美幸,2025-09-07 20:11:17.136269
"Re:<@U095FJCNZ39> おっとエラー出ちゃいましたか :sweat_drops: もしよければエラーメッセージ共有いただけると :blob-wave: 
まじん式、改良版のプロンプトで実行されましたか？エラーハンドリングが入ったので、エラーになりづらくなっているはずなのですが :blob-wave: ",古川格(運営),2025-09-07 20:21:19.462819
"Re:<@U02TAULQQ0L>
ありがとうございます。ちなみにプロンプトは改良版をコピーしました:blush:実行すると同じところでループ？しているみたいで時間切れになりました。デバッグを実行すると、コールスタックに三個メッセージが出ているんですが、ここに書いてある行のコードを修正すればいいのでしょうか:thinking_face:それすらわからなくてすみません:sweat_smile:",眞子 美幸,2025-09-07 21:07:45.858339
Re:もし差し支えなければ、スライド内容をテキストファイルでいただけますか？こちらでも試してみたいです :blob-wave: ,古川格(運営),2025-09-07 21:18:15.307099
Re:了解です:+1:よければ古川さん個人宛に送ってもよいでしょうか？,眞子 美幸,2025-09-07 21:19:31.625719
"Re:ありがとうございます:blob-wave:見せていただいたところ、GASが途中で終わってしまっているようです。（}が閉じきっていないので間違いないかと）
わたしのではこの後１４０行くらいまだ続きがあるようでした:blob-wave:

ちなみに最後の方はこんな感じです。

```function drawNumberedItems(slide, layout, area, items) {
const n = Math.max(1, items.length);
const topPadding = layout.pxToPt(30);
const bottomPadding = layout.pxToPt(10);
const drawableHeight = area.height - topPadding - bottomPadding;
const gapY = drawableHeight / Math.max(1, n - 1);
const cx = area.left + layout.pxToPt(44);
const top0 = <http://area.top|area.top> + topPadding;

for (let i = 0; i &lt; n; i++) {
const cy = top0 + gapY * i;
const sz = layout.pxToPt(28);
const numBox = slide.insertShape(SlidesApp.ShapeType.RECTANGLE, cx - sz/2, cy - sz/2, sz, sz);
numBox.getFill().setSolidFill(CONFIG.COLORS.primary_color);
numBox.getBorder().setTransparent();
const num = numBox.getText(); num.setText(String(i + 1));
applyTextStyle(num, { size: 12, bold: true, color: CONFIG.COLORS.background_white, align: SlidesApp.ParagraphAlignment.CENTER });

// 元の箇条書きテキストから先頭の数字を除去
let cleanText = String(items[i] || '');
cleanText = cleanText.replace(/^\s*\d+[\.\s]*/, '');

const txt = slide.insertShape(SlidesApp.ShapeType.TEXT_BOX, cx + layout.pxToPt(28), cy - layout.pxToPt(16), area.width - layout.pxToPt(70), layout.pxToPt(32));
setStyledText(txt, cleanText, { size: CONFIG.FONTS.sizes.processStep });
try { txt.setContentAlignment(SlidesApp.ContentAlignment.MIDDLE); } catch(e){}
}
}```",古川格(運営),2025-09-07 21:56:20.803019
Re:ありがとうございます:sob:毎回些細なことで迷惑かけてすみません:pray:,眞子 美幸,2025-09-07 21:59:31.142819
Re:いえいえ、上手くいきますように:blob_smile_happy_eyes:,古川格(運営),2025-09-07 22:01:59.724019
"Re:<@U02TAULQQ0L>
昨日はありがとうございました。なんとか完成品が出来たので報告します。実はあの後、他にもエラーがでて、自分で対応できそうになかったので:sob:
VScodeのGeminicodeAssistで修正してもらってなんとか形になりました。後は中身を修正すればいいので、私でも出来ます:sweat_smile:本当は自分で修正できるようにならないといけないと思いますので、今後も勉強は必要です:memo:今週末の勉強会もよろしくお願いいたします:+1:",眞子 美幸,2025-09-08 21:30:49.724839
"Re:おお、おめでとうございます:blob_smile_happy_eyes:いい感じですね:raised_hands:
私もまじん式のGASは全然理解してないです:sweat_drops:
ところでブログでは触れてなかったのですが、このGASでスピーカーノート（スライドを見ながら話すことのメモ）の内容まで作ってくれてますよね:blob_smile_happy_eyes:これも最初衝撃でした:blob-wave:",古川格(運営),2025-09-08 23:11:39.286629
"Re:<@U02TAULQQ0L> 
私も見て関心しました :blob-clap: これならプレゼンでも見ながら発表できるのでありがたいですよね :unun: ちなみに､これを少し内容変えて､保護者会のまとめとして保護者の方にも共有したいと思い、Microsoftのpower Pointに変換してもちゃんと綺麗に出来上がっていたので言う事なしです :blush: ",眞子 美幸,2025-09-09 00:20:50.683599
"Re:<@U02TAULQQ0L> 
まじん式プロンプト、改良版を使ってなかったりで数回エラー出ましたが、ようやくできました。
これ、すごいですね！感激しました:grinning: 
ブログの説明、わかりやすかったです。ありがとうございます:blush: 
<https://www.canva.com/design/DAGy226JfoM/myQteOp_LJ8D9YoH7iM4Eg/view?utm_content=DAGy226JfoM&amp;utm_campaign=designshare&amp;utm_medium=link2&amp;utm_source=uniquelinks&amp;utlId=h31fa914c1a|https://www.canva.com/design/DAGy226JfoM/myQteOp_LJ8D9YoH7iM4Eg/view?utm_content=DAGy226JfoM&amp;utm_campaign=designshare&amp;utm_medium=link2&amp;utm_source=uniquelinks&amp;utlId=h31fa914c1a>",寺脇 千登勢,2025-09-14 12:29:59.226619
"Re:<@U08JU5SBUN7> 
おお、いいスライド :blob_smile_happy_eyes: 良かったです :sparkles: 
まじん式旧型だと結構エラー出ますもんね :sweat_drops: 改良版の1番のポイントかなと思います :+1: ",古川格(運営),2025-09-15 00:54:44.262159
"Re:<@U02TAULQQ0L>
ありがとうございます:woman-bowing:
Google AI Studio のモデル選択でNano bananaを選んでしまい、コードが途中で終わる等のエラーもありました:sweat_drops:
再度古川さんの手順書を読み直し解決しました。:blob_cheer:
モデルによって得意分野があるのですね。大変勉強になりました。引き続き修行します！:muscle:",寺脇 千登勢,2025-09-15 09:41:33.313409
"HAGAKUREで皆と勉強したり情報交換させてもらったりしてきたことが、過去イチ遠くまで連れてってくれそうです:感謝:
10月岐阜までいってきます:blob_smile_happy_eyes:",古川格(運営),2025-09-03 19:57:53.889569
"Re:仕事めちゃめちゃ頑張って片付けた:partying_face: 行ってきます :star-struck:人生2度目の新幹線:bullettrain_side:
<@U03JP4DKLQL>さん登壇資料の添削ありがとうございました :partying_face: :感謝:",古川格(運営),2025-10-04 13:20:22.916319
"Re:今回学んだこと
新幹線内で通信環境が必要な作業はほぼ無理 :melting_face: 
岐阜もなかなかに田舎 :laughing: ",古川格(運営),2025-10-04 17:48:35.540999
"Re:岐阜まで新幹線、、、、
めっちゃ長旅ですね :sweat_smile: ",橋口加代子(運営),2025-10-04 20:14:21.762739
Re:頑張ってください～ :+1: ,橋口加代子(運営),2025-10-04 20:16:45.302769
Re:終わりました :star-struck: ちゃっかりhagakureも宣伝してきました :+1: ,古川格(運営),2025-10-05 12:40:34.520989
Re:,古川格(運営),2025-10-05 12:41:17.983009
"ワイは個人参加になる予定ですが、コミュニティで参加する方はどぞー
Google CloudのWebで手順ありの学習ツールを使って進めるやつです
&gt; コミュニティやグループの主催者（代表者 1 名）およびチューターの方には Google Cloud ウッドキャップ・ラウンドタンブラー をプレゼントします。
<https://cloudonair.withgoogle.com/events/gen-ai-skillup-jp>",Tetsuya Shibao,2025-08-30 20:36:45.468889
ワ、ワイにＡＩとか、まだ・・・・早いんや・・・・・・,藤瀬裕一,2025-08-22 17:18:42.400539
"Re:こっちでやりましょう :star-struck:
<https://sss-ixw8135.slack.com/archives/C02V07Y5G86/p1755489603441039|https://sss-ixw8135.slack.com/archives/C02V07Y5G86/p1755489603441039>",古川格(運営),2025-08-22 19:50:40.865839
"JAWS-UG福岡でお世話になっているオルターブース木村さんのポエム
（ワイが運営いつでも来てよ、と言っている背景もありますー）
<https://showm001.hatenablog.com/entry/2025/08/20/194737>",Tetsuya Shibao,2025-08-21 09:28:42.606049
"8/30 ノンビンさんと佐賀で会えるイベントなのですが、
佐賀の方はノンビンさんを知らない方も多いと思いますので、
紹介資料を作ってみました:smile:
その場でしか聞けない話もあると思うのでぜひー
<https://docs.google.com/presentation/d/17-Eh8t9Jgcaz_D-umudBAB4MZz99n00uVSAbHwiGiNk/edit?usp=sharing>",Tetsuya Shibao,2025-08-19 22:42:09.800609
Re:参加者が想定下回ったので新潟からお呼びするのは忍びないため中止となりました,Tetsuya Shibao,2025-08-24 22:38:28.424929
"メール来てますね
&gt; We’re continuing our free promotional use of GPT-5 through Wednesday, August 13 at midnight PT.
水曜、日本時間 8月13日（水）午後4時まで、GPT-5をタダで使えるキャンペーン、まだ続いとるで。",Tetsuya Shibao,2025-08-13 09:24:58.428109
"IPA、応用情報技術者試験など3試験区分でCBT方式に移行--2026年度から（ZDNET Japan） - Yahoo!ニュース <https://share.google/W9CwSgqV2pqthOnO5|https://share.google/W9CwSgqV2pqthOnO5>

ほう…？",川久保翔太,2025-08-12 19:00:24.986849
"地銀・銀行関連の話題ですが、興味のある方もいるかもしれないので共有します。

*9/6（土）*、関東近郊で金融×クラウド事業を行っている方々が集まる *Fin-JAWS* と *JAWS-UG佐賀* のコラボ企画を開催します。

佐賀では、

 佐賀銀行
 筑邦銀行
 西日本シティ銀行
 福岡銀行
 （個人的な繋がりで）広島銀行
などの関係者の方々が参加予定。
さらに「金融×クラウド」と言えばこの方、<https://ja.wikipedia.org/wiki/%E6%B8%A5%E7%BE%8E%E4%BF%8A%E8%8B%B1|渥美俊英さん>も来佐されます。

佐賀県外とのコラボ会を開催できるのも、<https://sites.google.com/view/jawsug-saga/home|運営>ならでは。
全国、そして世界と繋がりたい方もぜひご参加ください。

イベント詳細はこちら:point_down:
<https://connpass.com/event/365104/>",Tetsuya Shibao,2025-08-12 00:07:31.029749
"Re:興味深いイベントですね。
ドリンク交換と名刺交換が並んでいて少し混乱しました。
これは、チケットとドリンクを交換するという意味で合っていますか？",田代　拓也,2025-08-15 12:27:01.319769
"Re:いえ、ソフトドリンク飲み放題ですので、
来て早々飲み干して喉を潤すことを優先したい人はドリンク交換、
ドリンクは後回しでも交流優先したい人は名刺交換、のつもりで書いてますー",Tetsuya Shibao,2025-08-15 12:33:21.797949
"cursorではGPT5使い放題だと:blob_smile_happy_eyes:
いつまでだろ",古川格(運営),2025-08-08 20:50:07.735529
"Re:メール来てますね
&gt; We’re continuing our free promotional use of GPT-5 through Wednesday, August 13 at midnight PT.
水曜、日本時間 8月13日（水）午後4時まで、GPT-5をタダで使えるキャンペーン、まだ続いとるで。",Tetsuya Shibao,2025-08-13 09:24:58.428109
Re:来てましたね :partying_face: openaiは5を標準にしたいっぽいし、ワンチャンずっと使えるとかあるかと期待したんですが :sweat_smile: ,古川格(運営),2025-08-13 09:27:16.129059
"Re:Cursor, WindsurfなどのIDEはAPI利用側ですからねえ...モニタリングしていると思うので、
フリーミアムである程度開放できなくはないとは思いますけど、難しいところ
CodexをChatGPT Plusでも開放してくれると個人的にうれしいです（Claude Codeを使うためにClaude有料はちとつらい",Tetsuya Shibao,2025-08-13 09:34:24.265899
